Gender,2018_Less than 9th grade,"2018_9th to 12th grade, no diploma",2018_High school graduate (includes equivalency),"2018_Some college, no degree",2018_Associate's degree,2018_Bachelor's degree,2018_Graduate or professional degree
Males,"5,485,886","7,817,988","30,176,064","21,678,168","8,311,544","21,103,379","13,306,093"
        Females,"5,597,852","7,142,437","29,785,829","23,546,486","10,866,132","23,495,807","14,845,182"
