Gender,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),"Population 25 years and over!!Some college, no degree",Population 25 years and over!!Associate's degree,Population 25 years and over!!Bachelor's degree,Population 25 years and over!!Graduate or professional degree
       Males,"106,901,803","5,576,969","7,993,828","30,148,425","21,594,389","8,078,929","20,618,486","12,890,777"
       Females,"114,348,280","5,690,089","7,321,325","29,883,120","23,515,264","10,681,830","22,966,542","14,290,110"
