Gender,2019_Less than 9th grade,"2019_9th to 12th grade, no diploma",2019_High school graduate (includes equivalency),"2019_Some college, no degree",2019_Associate's degree,2019_Bachelor's degree,2019_Graduate or professional degree
Males,"5,401,669","7,685,261","30,551,814","21,578,525","8,391,409","21,645,659","13,456,755"
        Females,"5,473,016","7,058,595","29,930,539","23,335,561","10,990,528","24,084,820","15,314,417"
